# started on Thu Nov  7 22:04:03 2019

     0.100560139,1880056,,inst_retired.any,2845963,93.14,1.5,CPI
     0.100560139,2773116,,cycles,2845963,93.14,,
     0.100560139,2691170,,cpu_clk_unhalted.thread,3055440,100.00,2691170.0,CLKS
     0.100560139,1824363,,inst_retired.any,3055440,100.00,1824363.0,Instructions
     0.100560139,7307823,,cpu_clk_unhalted.ref_tsc,3055440,100.00,0.9,CPU_Utilization
     0.100560139,8155280,,msr/tsc/,3055440,100.00,,
     0.100560139,0,,fp_arith_inst_retired.scalar_single,3055440,100.00,0.0,GFLOPs
     0.100560139,0,,fp_arith_inst_retired.scalar_double,3055440,100.00,,
     0.100560139,0,,fp_arith_inst_retired.128b_packed_double,209477,6.86,,
     0.100560139,0,,fp_arith_inst_retired.128b_packed_single,209477,6.86,,
     0.100560139,<not counted>,,fp_arith_inst_retired.256b_packed_double,0,0.00,,
     0.100560139,<not counted>,,fp_arith_inst_retired.256b_packed_single,0,0.00,,
     0.100560139,<not counted>,,cpu_clk_thread_unhalted.one_thread_active,0,0.00,,
     0.100560139,<not counted>,,cpu_clk_thread_unhalted.ref_xclk_any,0,0.00,,
     0.100560139,<not counted>,,cpu_clk_unhalted.ref_tsc:u,0,0.00,,
     0.100560139,<not counted>,,cpu_clk_unhalted.ref_tsc,0,0.00,,
     0.100560139,<not counted>,,uops_issued.any,0,0.00,,
     0.100560139,<not counted>,,uops_retired.retire_slots,0,0.00,,
     0.100560139,<not counted>,,inst_retired.any,0,0.00,,
     0.100560139,<not counted>,,icache_64b.iftag_hit,0,0.00,,
     0.100560139,<not counted>,,icache_64b.iftag_miss,0,0.00,,
     0.100560139,<not counted>,,idq.dsb_uops,0,0.00,,
     0.100560139,<not counted>,,lsd.uops,0,0.00,,
     0.100560139,<not counted>,,idq.mite_uops,0,0.00,,
     0.100560139,<not counted>,,idq.ms_uops,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending_cycles_any,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending_cycles,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending,0,0.00,,
     0.100560139,<not counted>,,mem_load_retired.l1_miss,0,0.00,,
     0.100560139,<not counted>,,mem_load_retired.fb_hit,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending_cycles_any,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending_cycles,0,0.00,,
     0.100560139,<not counted>,,l1d_pend_miss.pending,0,0.00,,
     0.100560139,<not counted>,,mem_load_retired.l1_miss,0,0.00,,
     0.100560139,<not counted>,,mem_load_retired.fb_hit,0,0.00,,
     0.100560139,<not counted>,,uops_retired.retire_slots,0,0.00,,
     0.100560139,<not counted>,,inst_retired.any,0,0.00,,
     0.100560139,<not counted>,,cycles,0,0.00,,
     0.100560139,<not counted>,,uops_executed.thread,0,0.00,,
     0.100560139,<not counted>,,uops_executed.core_cycles_ge_1,0,0.00,,
